,tweets,likes,time
0,@rookisaacman Super proud of the great work by the SpaceX team!,7169,2021-11-13 18:29:57+00:00
1,"@ICannot_Enough Please don’t read too much into this. As mentioned publicly, Tesla is constrained by chip supply short-term &amp; cell supply long-term. 

Not possible to produce additional vehicles in volume until both constraints are addressed.",1761,2021-11-13 18:22:08+00:00
2,"@GailAlfarATX @JohnnaCrider1 @WholeMarsBlog @TeslaOwnersEBay @RationalEtienne @EvaFoxU @Boxabl I’ve actually been living in a ~$50k house in south Texas for past 2 years, not Boxabl (cool product tho). 

Feels more homey to live in a small house.",3566,2021-11-13 18:19:05+00:00
3,"@jordanski20 @slashdot Megapacks are deployed to stabilize the grid itself, especially effective for absorbing peak loads. They save consumers money.
https://t.co/aJalFGM9pV",877,2021-11-13 18:08:23+00:00
4,@SpaceXMR Such a beautiful day to launch,5440,2021-11-13 18:00:00+00:00
5,@_rykllan @SpaceX @NASASpaceflight @FelixSchlang @MarcusHouse @bluemoondance74 The rocket fleet grows,2338,2021-11-13 17:58:05+00:00
6,@Rainmaker1973 Best plane ever,6571,2021-11-13 17:56:44+00:00
7,@slashdot Tesla Megapack batteries will help stabilize the grid this winter,3274,2021-11-13 17:55:44+00:00
8,129 Orbital Flights https://t.co/BjG4lNnFyJ,83331,2021-11-13 16:47:09+00:00
9,"@SpaceIntellige3 @SpaceX @SpaceXStarlink @nkknspace @HomemDoEspacoBr @InfographicTony @cnunezimages @spacex360 Should work everywhere for global maritime by roughly middle of next year (enough sats with laser links launched). Until then, it will be patchy when far from land.",1760,2021-11-13 12:38:02+00:00
10,RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites to orbit → https://t.co/bJFjLCzWdK  https://t.co/dgHuF6SIZ4,0,2021-11-13 12:16:07+00:00
11,"@SpaceIntellige3 @SpaceX @SpaceXStarlink @nkknspace @HomemDoEspacoBr @InfographicTony @cnunezimages @spacex360 Inter-satellite laser communications means Starlink can carry data at speed of light in vacuum all around Earth before touching ground.

Over time, some amount of communication can simply be from one user terminal to another without touching the Internet.",2040,2021-11-13 12:15:14+00:00
12,@PPathole @teslaownersSV @SamTwits Exactly,1852,2021-11-13 11:25:11+00:00
13,RT @SpaceX: First 6-engine static fire test of Starship https://t.co/Bq3uryxEnl,0,2021-11-13 11:17:44+00:00
14,https://t.co/KpPfSNuaaF,279379,2021-11-13 11:16:58+00:00
15,@Erdayastronaut It is a very impressive history,8940,2021-11-13 10:30:24+00:00
16,"@teslaownersSV @SamTwits Once the board was presented with the evidence of Eberhard’s deception/fraud &amp; the dire state of the company, all board members, including those he appointed, voted unanimously to fire him in August 2007.",3619,2021-11-13 01:15:41+00:00
17,@teslaownersSV @SamTwits Thinking of doing a podcast “Hardcore History” style that tells what really happened at Tesla in those early years,11039,2021-11-13 01:10:26+00:00
18,"@teslaownersSV @SamTwits He came damn close to killing Tesla through a combination of bad management decisions, driving out talented people, bad engineering, major blunders in supply chain &amp; an elaborate deception about the true cost &amp; schedule of the Tesla Roadster.",4565,2021-11-13 01:08:26+00:00
19,"@SamTwits Founding story of Tesla as portrayed by Eberhard is patently false. I wish I had never met him.

Eberhard is by far the worst person I’ve ever worked with in my entire career. Given how many people I’ve worked with over the years, that’s really saying something …",5442,2021-11-13 00:56:41+00:00
20,@NASASpaceflight Good static fire with all six engines!,24291,2021-11-12 18:17:32+00:00
21,"RT @NASA: Four new astronauts through the hatch and seven crewmembers total on the @Space_Station!

After almost exactly a day from launch,…",0,2021-11-12 09:04:20+00:00
22,"@teslaownersSV @24_7TeslaNews @SpaceX No guarantees, but maybe next month. Requires quite a lot of incremental testing &amp; code tweaks for different road system in Canada.",3961,2021-11-12 01:27:38+00:00
23,@24_7TeslaNews @teslaownersSV @SpaceX Hoping to start releasing to 98 scores with V10.5 in about 10 days,1988,2021-11-12 01:25:03+00:00
24,@teslaownersSV @SpaceX Ancient times,38707,2021-11-12 01:22:59+00:00
25,"@SamTwits I hope they’re able to achieve high production &amp; breakeven cash flow. That is the true test. 

There have been hundreds of automotive startups, both electric &amp; combustion, but Tesla is only American carmaker to reach high volume production &amp; positive cash flow in past 100 years.",26457,2021-11-11 21:13:45+00:00
26,RT @TeslaCharging: 30k Superchargers around the world — and counting https://t.co/Yw7m3cJ6HA,0,2021-11-11 19:05:14+00:00
27,@PPathole @SpaceX Pattern on the Starlink router is orbital transfer ellipse from Earth to Mars,17627,2021-11-11 04:44:30+00:00
28,RT @SpaceX: Watch Falcon 9 launch Dragon with four astronauts on board to the @space_station → https://t.co/bJFjLCzWdK https://t.co/6UDoESJ…,0,2021-11-11 02:01:58+00:00
29,@SawyerMerritt New UAW slogan: “Fighting for their right to steal money from workers!”,9465,2021-11-10 18:02:16+00:00
30,@Rainmaker1973 🔥🔥,10984,2021-11-10 17:55:58+00:00
31,"@Rainmaker1973 Interestingly, however, average power density of the sun is comparable to a compost heap (humans are more power dense than the sun) – it is just very, very big",3520,2021-11-10 17:38:24+00:00
32,"@SawyerMerritt There are many other good causes, but this is my main reason for accumulating capital. 

The resources I consume personally are very low.",8291,2021-11-10 17:18:35+00:00
33,"@Tenjin37151 @Space_Station @SpaceX @Commercial_Crew @NASA @esa @JAXA_en @astro_kimbrough @Astro_Megan @Thom_astro @Aki_Hoshide As described in The Moon is a Harsh Mistress (great book), a linear accelerator would be great for the moon. 

Earth’s gravity is too high &amp; atmosphere too dense for accelerators to be a good solution vs reusable boosters imo.",2553,2021-11-10 17:16:16+00:00
34,@Space_Station @SpaceX @Commercial_Crew @NASA @esa @JAXA_en @astro_kimbrough @Astro_Megan @Thom_astro @Aki_Hoshide Still blows my mind that this is real,33666,2021-11-10 17:06:52+00:00
35,@Rainmaker1973 And that is a very tiny fraction of the ~4 megatons of mass that the sun converts to energy every second,14235,2021-11-10 07:54:26+00:00
36,"RT @SpaceX: Jupiter, Saturn, the Moon, and Venus above Falcon and Dragon tonight https://t.co/S76YV1XTV2",0,2021-11-10 04:07:29+00:00
37,Sometimes they’re a little 2-dimensional https://t.co/EQfkGG9Hzq,50345,2021-11-09 15:32:04+00:00
38,I have all their albums https://t.co/OwQaSJADDE,197992,2021-11-09 08:13:40+00:00
39,@lexfridman (Zero is a cool concept),10367,2021-11-09 07:34:40+00:00
40,@lexfridman Nothing matters,25089,2021-11-09 06:33:36+00:00
41,@WholeMarsBlog 11 lifetimes ago,22792,2021-11-09 06:21:07+00:00
42,@SciGuySpace Dragon enters like a shooting star,11713,2021-11-09 06:08:46+00:00
43,RT @SpaceX: Crew-2 astronauts have donned their spacesuits ahead of Dragon's reentry into the Earth's atmosphere https://t.co/1kKg2iH7ZA,0,2021-11-09 01:40:46+00:00
44,@skorusARK Really just comes down to iron  cathode for medium range vehicles &amp; stationary storage vs nickel cathode for long range vehicles,7043,2021-11-08 21:18:35+00:00
45,"RT @NASA: This is what teamwork sounds like.

As @SpaceX's Crew Dragon Endeavour begins its flyaround of the @Space_Station, @Astro_Sabot s…",0,2021-11-08 20:23:04+00:00
46,@mishaboar Important,18274,2021-11-08 19:28:11+00:00
47,"@Erdayastronaut @thesheetztweetz @BryceSpaceTech @SpaceX @Arianespace @ArianeGroup @roscosmos @northropgrumman @ulalaunch @torybruno @isro @RocketLab The Starship fleet is designed to achieve over 1000 times more payload to orbit than all other rockets on Earth combined. 

Almost no one understands this.",14135,2021-11-08 19:20:16+00:00
48,@Erdayastronaut @thesheetztweetz @BryceSpaceTech @SpaceX @Arianespace @ArianeGroup @roscosmos @northropgrumman @ulalaunch @torybruno @isro @RocketLab True,5093,2021-11-08 19:16:43+00:00
49,"@thesheetztweetz @BryceSpaceTech @SpaceX @Arianespace @ArianeGroup @roscosmos @northropgrumman @ulalaunch @torybruno @isro @RocketLab Actually, 41 tons for SpaceX in Q3 &amp; aiming for 80 tons in Q4. That said, China launch mass to orbit is extremely impressive.",5852,2021-11-08 19:13:39+00:00
50,RT @SpaceX: Watch Dragon depart the @space_station and return to Earth with Crew-2 astronauts → https://t.co/bJFjLCzWdK https://t.co/5Pb3Ct…,0,2021-11-08 19:08:07+00:00
51,@BrianFeroldi @joerogan https://t.co/6HWAI2yiY0,41705,2021-11-08 17:56:03+00:00
52,"RT @SpaceX: Following Crew-2’s return to Earth, Falcon 9 will launch Dragon’s third long-duration crew mission to the @Space_Station as soo…",0,2021-11-08 17:40:31+00:00
53,"RT @SpaceX: After a six-month stay, Dragon and the Crew-2 astronauts are set to depart the @space_station today at ~2:00 p.m. ET → https://…",0,2021-11-08 17:40:26+00:00
54,@shawncarelli @RonWyden Coming soon,7099,2021-11-08 01:15:23+00:00
55,@slashdot .@Wikipedia ahem,4185,2021-11-08 00:06:37+00:00
56,@RonWyden Why does ur pp look like u just came?,97920,2021-11-07 23:57:22+00:00
57,@WholeMarsBlog I had too many bottles of Teslaquila!,13872,2021-11-07 23:20:28+00:00
58,@lexfridman Exactly,13925,2021-11-07 22:48:11+00:00
59,@WholeMarsBlog 🤣,3866,2021-11-07 21:29:27+00:00
